tutor_email,course_id
aaron.baker@usf.edu,CIS101
aaron.baker@usf.edu,COP2510
aaron.baker@usf.edu,MAT201
adam.collins@usf.edu,CIS201
adam.collins@usf.edu,COP3330
adam.collins@usf.edu,COT3100
alexis.foster@usf.edu,ENG101
alexis.foster@usf.edu,ENG102
alexis.foster@usf.edu,LIT300
andrew.green@usf.edu,PHY101
andrew.green@usf.edu,PHY301
andrew.green@usf.edu,MAT202
anthony.hughes@usf.edu,BIO101
anthony.hughes@usf.edu,BIO150
anthony.hughes@usf.edu,CHM101
benjamin.king@usf.edu,CIS320
benjamin.king@usf.edu,CIS330
benjamin.king@usf.edu,CIS390
blake.long@usf.edu,CIS250
blake.long@usf.edu,COP3530
blake.long@usf.edu,STA2023
brianna.morris@usf.edu,PSY101
brianna.morris@usf.edu,SOC101
brianna.morris@usf.edu,ANT200
caleb.perry@usf.edu,MAC2311
caleb.perry@usf.edu,MAC2312
caleb.perry@usf.edu,MAT260
cameron.price@usf.edu,ECO201
cameron.price@usf.edu,ECO202
cameron.price@usf.edu,FIN3403
chloe.reed@usf.edu,ART101
chloe.reed@usf.edu,MUS101
chloe.reed@usf.edu,THE101
claire.rogers@usf.edu,CIS350
claire.rogers@usf.edu,CNT210
claire.rogers@usf.edu,CNT220
daniel.stewart@usf.edu,CDA3103
daniel.stewart@usf.edu,CDA4102
daniel.stewart@usf.edu,EEL3003
dominic.ward@usf.edu,ENV3001
dominic.ward@usf.edu,GLY2010
dominic.ward@usf.edu,AST2002
elena.wood@usf.edu,ENC3246
elena.wood@usf.edu,SPC2608
elena.wood@usf.edu,GEB3213
ella.adams@usf.edu,CAP4053
ella.adams@usf.edu,CAP4630
ella.adams@usf.edu,CIS370
ethan.bennett@usf.edu,CIS360
ethan.bennett@usf.edu,CIS380
ethan.bennett@usf.edu,COP4534
gabriel.campbell@usf.edu,MAN3025
gabriel.campbell@usf.edu,MAR3023
gabriel.campbell@usf.edu,BUL3130
grayson.cooper@usf.edu,ACG2021
grayson.cooper@usf.edu,ACG2071
grayson.cooper@usf.edu,QMB3200
hannah.diaz@usf.edu,NUR101
hannah.diaz@usf.edu,NUR220
hannah.diaz@usf.edu,BSC2085
ian.flores@usf.edu,CIS102
ian.flores@usf.edu,COP2510
ian.flores@usf.edu,CGS2060
jacob.gonzalez@usf.edu,MAT101
jacob.gonzalez@usf.edu,MAC1140
jacob.gonzalez@usf.edu,STA2023
james.henderson@usf.edu,HIS101
james.henderson@usf.edu,HIS201
james.henderson@usf.edu,POS2041
jason.howard@usf.edu,COM201
jason.howard@usf.edu,JOU2100
jason.howard@usf.edu,SPC2608
jeremy.jenkins@usf.edu,CHM101
jeremy.jenkins@usf.edu,CHM102
jeremy.jenkins@usf.edu,BIO201
john.kim@usf.edu,CIS300
john.kim@usf.edu,CIS340
john.kim@usf.edu,CNT220
jordan.morgan@usf.edu,PSY201
jordan.morgan@usf.edu,PSY220
jordan.morgan@usf.edu,SOC220
julia.nelson@usf.edu,REL101
julia.nelson@usf.edu,PHI101
julia.nelson@usf.edu,PHI201
kaitlyn.patel@usf.edu,CIS202
kaitlyn.patel@usf.edu,COP3330
kaitlyn.patel@usf.edu,CIS310
kimberly.phillips@usf.edu,BIO220
kimberly.phillips@usf.edu,BSC2086
kimberly.phillips@usf.edu,ENV3001
lauren.ross@usf.edu,ENG201
lauren.ross@usf.edu,ENG220
lauren.ross@usf.edu,LIT310
logan.simmons@usf.edu,CIS220
logan.simmons@usf.edu,CDA3103
logan.simmons@usf.edu,EGN3000
madeline.turner@usf.edu,ART220
madeline.turner@usf.edu,CIS390
madeline.turner@usf.edu,CGS2060
mason.ward@usf.edu,EEL3111
mason.ward@usf.edu,EML3022
mason.ward@usf.edu,EGN3000
megan.chavez@usf.edu,HIS102
megan.chavez@usf.edu,HIS202
megan.chavez@usf.edu,POS2041
micah.cross@usf.edu,CIS400
micah.cross@usf.edu,CIS310
micah.cross@usf.edu,COP4020
natalie.ford@usf.edu,BUS3130
natalie.ford@usf.edu,ENT3613
natalie.ford@usf.edu,MAR3023
noah.graham@usf.edu,MAD2104
noah.graham@usf.edu,COT4400
noah.graham@usf.edu,COP4534
oliver.hansen@usf.edu,PHY302
oliver.hansen@usf.edu,AST2002
oliver.hansen@usf.edu,MAT203
patrick.holmes@usf.edu,CIS330
patrick.holmes@usf.edu,CIS320
patrick.holmes@usf.edu,CIS380
robert.jordan@usf.edu,FIN3403
robert.jordan@usf.edu,ACG2021
robert.jordan@usf.edu,ECO202
samantha.mccoy@usf.edu,BIO101
samantha.mccoy@usf.edu,BIO201
samantha.mccoy@usf.edu,CHM102
savannah.meyer@usf.edu,ENC3246
savannah.meyer@usf.edu,ENG220
savannah.meyer@usf.edu,SPC2608
sophia.montgomery@usf.edu,CAP4630
sophia.montgomery@usf.edu,CIS360
sophia.montgomery@usf.edu,CIS370
steven.nguyen@usf.edu,CIS350
steven.nguyen@usf.edu,CNT210
steven.nguyen@usf.edu,CIS340
tristan.pena@usf.edu,STA3032
tristan.pena@usf.edu,MAC2313
tristan.pena@usf.edu,MAT250
valerie.reyes@usf.edu,PSY101
valerie.reyes@usf.edu,SOC101
valerie.reyes@usf.edu,REL101
victoria.ruiz@usf.edu,ART101
victoria.ruiz@usf.edu,MUS101
victoria.ruiz@usf.edu,ENG201
zoe.vargas@usf.edu,CIS101
zoe.vargas@usf.edu,CIS102
zoe.vargas@usf.edu,COP2510
