availability_id,tutor_email,week_day,start_time,end_time,tutor_location
1,aaron.baker@usf.edu,Monday,09:00:00,11:00:00,In-person (LIB206)
2,aaron.baker@usf.edu,Wednesday,14:00:00,16:00:00,Microsoft Teams
3,adam.collins@usf.edu,Tuesday,10:00:00,12:00:00,In-person (LIB206)
4,adam.collins@usf.edu,Thursday,13:00:00,15:00:00,Microsoft Teams
5,alexis.foster@usf.edu,Friday,09:00:00,11:00:00,In-person (LIB206)
6,alexis.foster@usf.edu,Monday,15:00:00,17:00:00,Microsoft Teams
7,andrew.green@usf.edu,Tuesday,09:00:00,11:00:00,Microsoft Teams
8,andrew.green@usf.edu,Thursday,14:00:00,16:00:00,In-person (LIB206)
9,anthony.hughes@usf.edu,Monday,10:00:00,12:00:00,In-person (LIB206)
10,anthony.hughes@usf.edu,Wednesday,13:00:00,15:00:00,Microsoft Teams
11,benjamin.king@usf.edu,Friday,09:00:00,11:00:00,Microsoft Teams
12,benjamin.king@usf.edu,Tuesday,15:00:00,17:00:00,In-person (LIB206)
13,blake.long@usf.edu,Wednesday,10:00:00,12:00:00,In-person (LIB206)
14,blake.long@usf.edu,Friday,14:00:00,16:00:00,Microsoft Teams
15,brianna.morris@usf.edu,Monday,09:00:00,11:00:00,Microsoft Teams
16,brianna.morris@usf.edu,Thursday,13:00:00,15:00:00,In-person (LIB206)
17,caleb.perry@usf.edu,Tuesday,11:00:00,13:00:00,In-person (LIB206)
18,caleb.perry@usf.edu,Friday,15:00:00,17:00:00,Microsoft Teams
19,cameron.price@usf.edu,Wednesday,09:00:00,11:00:00,Microsoft Teams
20,cameron.price@usf.edu,Monday,14:00:00,16:00:00,In-person (LIB206)
21,chloe.reed@usf.edu,Thursday,10:00:00,12:00:00,In-person (LIB206)
22,chloe.reed@usf.edu,Tuesday,13:00:00,15:00:00,Microsoft Teams
23,claire.rogers@usf.edu,Friday,09:00:00,11:00:00,Microsoft Teams
24,claire.rogers@usf.edu,Wednesday,15:00:00,17:00:00,In-person (LIB206)
25,daniel.stewart@usf.edu,Monday,10:00:00,12:00:00,In-person (LIB206)
26,daniel.stewart@usf.edu,Thursday,14:00:00,16:00:00,Microsoft Teams
27,dominic.ward@usf.edu,Tuesday,09:00:00,11:00:00,In-person (LIB206)
28,dominic.ward@usf.edu,Friday,13:00:00,15:00:00,Microsoft Teams
29,elena.wood@usf.edu,Wednesday,11:00:00,13:00:00,Microsoft Teams
30,elena.wood@usf.edu,Monday,15:00:00,17:00:00,In-person (LIB206)
31,ella.adams@usf.edu,Thursday,09:00:00,11:00:00,In-person (LIB206)
32,ella.adams@usf.edu,Tuesday,14:00:00,16:00:00,Microsoft Teams
33,ethan.bennett@usf.edu,Friday,10:00:00,12:00:00,Microsoft Teams
34,ethan.bennett@usf.edu,Wednesday,13:00:00,15:00:00,In-person (LIB206)
35,gabriel.campbell@usf.edu,Monday,11:00:00,13:00:00,In-person (LIB206)
36,gabriel.campbell@usf.edu,Thursday,15:00:00,17:00:00,Microsoft Teams
37,grayson.cooper@usf.edu,Tuesday,09:00:00,11:00:00,Microsoft Teams
38,grayson.cooper@usf.edu,Friday,14:00:00,16:00:00,In-person (LIB206)
39,hannah.diaz@usf.edu,Wednesday,10:00:00,12:00:00,In-person (LIB206)
40,hannah.diaz@usf.edu,Monday,13:00:00,15:00:00,Microsoft Teams
41,ian.flores@usf.edu,Thursday,09:00:00,11:00:00,Microsoft Teams
42,ian.flores@usf.edu,Tuesday,15:00:00,17:00:00,In-person (LIB206)
43,jacob.gonzalez@usf.edu,Friday,10:00:00,12:00:00,In-person (LIB206)
44,jacob.gonzalez@usf.edu,Wednesday,14:00:00,16:00:00,Microsoft Teams
45,james.henderson@usf.edu,Monday,09:00:00,11:00:00,Microsoft Teams
46,james.henderson@usf.edu,Thursday,13:00:00,15:00:00,In-person (LIB206)
47,jason.howard@usf.edu,Tuesday,10:00:00,12:00:00,In-person (LIB206)
48,jason.howard@usf.edu,Friday,15:00:00,17:00:00,Microsoft Teams
49,jeremy.jenkins@usf.edu,Wednesday,09:00:00,11:00:00,Microsoft Teams
50,jeremy.jenkins@usf.edu,Monday,14:00:00,16:00:00,In-person (LIB206)
