session_id,student_email,course_id,availability_id,session_location,session_start_time,session_end_time,session_date,session_status
1,abigail.carter@usf.edu,CIS101,1,In-person (LIB206),09:00:00,10:00:00,2026-04-10,Scheduled
63,abigail.carter@usf.edu,BIO150,10,Microsoft Teams,13:00:00,14:00:00,2026-04-29,Scheduled    
2,alex.edwards@usf.edu,COP2510,2,Microsoft Teams,14:00:00,15:00:00,2026-04-12,Scheduled
3,amanda.gray@usf.edu,CIS201,3,In-person (LIB206),10:00:00,11:00:00,2026-04-11,Scheduled
4,anna.hayes@usf.edu,ENG102,5,In-person (LIB206),09:00:00,10:00:00,2026-04-15,Scheduled
5,ashley.kennedy@usf.edu,BIO150,9,Microsoft Teams,10:00:00,11:00:00,2026-04-09,Scheduled
6,bianca.lewis@usf.edu,CIS320,11,In-person (LIB206),09:00:00,10:00:00,2026-04-16,Scheduled
7,brandon.mitchell@usf.edu,COP3530,13,Microsoft Teams,10:00:00,11:00:00,2026-04-14,Scheduled
8,bryan.parker@usf.edu,PSY101,15,In-person (LIB206),09:00:00,10:00:00,2026-04-18,Scheduled
9,camila.powell@usf.edu,MAC2311,17,Microsoft Teams,11:00:00,12:00:00,2026-04-13,Scheduled
10,charlotte.ramirez@usf.edu,ECO201,19,In-person (LIB206),09:00:00,10:00:00,2026-04-17,Scheduled
11,christian.rivera@usf.edu,ART101,21,In-person (LIB206),10:00:00,11:00:00,2026-04-08,Scheduled
12,cole.scott@usf.edu,CIS350,23,Microsoft Teams,09:00:00,10:00:00,2026-04-19,Scheduled
13,delilah.turner@usf.edu,CDA3103,25,In-person (LIB206),10:00:00,11:00:00,2026-04-20,Scheduled
14,dylan.watson@usf.edu,ENV3001,27,Microsoft Teams,09:00:00,10:00:00,2026-04-21,Scheduled
15,emily.bailey@usf.edu,ENC3246,29,In-person (LIB206),11:00:00,12:00:00,2026-04-22,Scheduled
16,eva.brooks@usf.edu,CAP4053,31,Microsoft Teams,09:00:00,10:00:00,2026-04-23,Scheduled
17,gabriella.cook@usf.edu,CIS360,33,In-person (LIB206),10:00:00,11:00:00,2026-04-24,Scheduled
18,hailey.cox@usf.edu,MAN3025,35,Microsoft Teams,11:00:00,12:00:00,2026-04-25,Scheduled
19,hunter.evans@usf.edu,ACG2021,37,In-person (LIB206),09:00:00,10:00:00,2026-04-26,Scheduled
20,isabella.gomez@usf.edu,NUR101,39,Microsoft Teams,10:00:00,11:00:00,2026-04-27,Scheduled
21,jade.hamilton@usf.edu,CIS102,41,In-person (LIB206),09:00:00,10:00:00,2026-04-28,Scheduled
22,jasmine.hill@usf.edu,MAT101,43,Microsoft Teams,10:00:00,11:00:00,2026-04-29,Scheduled
23,jennifer.james@usf.edu,HIS101,45,In-person (LIB206),09:00:00,10:00:00,2026-04-30,Scheduled
24,jessica.kelly@usf.edu,COM201,47,Microsoft Teams,10:00:00,11:00:00,2026-05-01,Scheduled
25,jonathan.lopez@usf.edu,CHM101,49,In-person (LIB206),09:00:00,10:00:00,2026-05-02,Scheduled
26,joseph.murphy@usf.edu,CIS101,1,In-person (LIB206),10:00:00,11:00:00,2026-05-03,Completed
27,justin.ortiz@usf.edu,COP3330,4,Microsoft Teams,13:00:00,14:00:00,2026-05-04,Scheduled
28,kevin.peterson@usf.edu,BIO101,10,In-person (LIB206),13:00:00,14:00:00,2026-05-05,Scheduled
29,kyle.richardson@usf.edu,CIS390,14,Microsoft Teams,14:00:00,15:00:00,2026-05-06,Scheduled
30,lily.sanders@usf.edu,PHY101,7,In-person (LIB206),09:00:00,10:00:00,2026-05-07,Scheduled
31,lucas.torres@usf.edu,CIS250,13,Microsoft Teams,10:00:00,11:00:00,2026-05-08,Scheduled
32,madison.wright@usf.edu,ENG201,29,In-person (LIB206),11:00:00,12:00:00,2026-05-09,Completed
33,matthew.bryant@usf.edu,EEL3111,35,Microsoft Teams,11:00:00,12:00:00,2026-05-10,Scheduled
34,mia.coleman@usf.edu,CIS400,31,In-person (LIB206),09:00:00,10:00:00,2026-05-11,Scheduled
35,michelle.fisher@usf.edu,STA3032,17,Microsoft Teams,11:00:00,12:00:00,2026-05-12,Scheduled
36,nicholas.gibson@usf.edu,REL101,15,In-person (LIB206),09:00:00,10:00:00,2026-05-13,Canceled
37,nora.griffin@usf.edu,CNT210,23,Microsoft Teams,09:00:00,10:00:00,2026-05-14,Scheduled
38,paige.hawkins@usf.edu,CIS370,34,In-person (LIB206),13:00:00,14:00:00,2026-05-15,Scheduled
39,riley.hunter@usf.edu,HIS202,46,Microsoft Teams,13:00:00,14:00:00,2026-05-16,Scheduled
40,ryan.lane@usf.edu,PSY220,16,In-person (LIB206),13:00:00,14:00:00,2026-05-17,Scheduled
